Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Dallas Stars,Wyatt Johnston,"C,RW","$8,400,000",4,UFA
Dallas Stars,Matt Duchene,"C,RW","$4,500,000",3,UFA
Dallas Stars,Sam Steel,"C,LW","$2,100,000",1,UFA
Dallas Stars,Radek Faksa,"C,LW","$2,000,000",2,UFA
Dallas Stars,Joel Kiviranta,"LW,RW","$1,000,000",1,UFA
Dallas Stars,Justin Hryckowian,"C,LW","$950,000",2,UFA
Dallas Stars,Arttu Hyry,"RW,C","$875,000",2,UFA
Dallas Stars,Jamie Benn,"LW,C","$850,000",1,UFA
Dallas Stars,Colin Blackwell,RW,"$850,000",1,UFA
Dallas Stars,Oskar Back,"C,LW","$825,000",1,UFA
